status	file	before	after_or_reason	maker_id_or_preferred
skipped	AP-2026-000002.json	Herberts Silins	artist_name_ascii_only	Herberts Silins
skipped	AP-2026-000035.json	Gustavs Klucis	artist_name_ascii_only	Gustavs Klucis
skipped	AP-2026-000036.json	Gustavs Klucis	artist_name_ascii_only	Gustavs Klucis
skipped	AP-2026-000037.json	Gustavs Klucis	artist_name_ascii_only	Gustavs Klucis
skipped	AP-2026-000038.json	Gustavs Klucis	artist_name_ascii_only	Gustavs Klucis
skipped	AP-2026-000045.json	Leo Svemps	artist_name_ascii_only	Leo Svemps
skipped	AP-2026-000053.json	Gustavs Klucis	artist_name_ascii_only	Gustavs Klucis
skipped	AP-2026-000054.json	Gustavs Klucis	artist_name_ascii_only	Gustavs Klucis
skipped	AP-2026-000055.json	Gustavs Klucis	artist_name_ascii_only	Gustavs Klucis
skipped	AP-2026-000070.json	Oto Skulme	artist_name_ascii_only	Oto Skulme
skipped	AP-2026-000071.json	Oto Skulme	artist_name_ascii_only	Oto Skulme
skipped	AP-2026-000072.json	Oto Skulme	artist_name_ascii_only	Oto Skulme
skipped	AP-2026-000073.json	Oto Skulme	artist_name_ascii_only	Oto Skulme
skipped	AP-2026-000074.json	Oto Skulme	artist_name_ascii_only	Oto Skulme
skipped	AP-2026-000075.json	Oto Skulme	artist_name_ascii_only	Oto Skulme
skipped	AP-2026-000076.json	Oto Skulme	artist_name_ascii_only	Oto Skulme
skipped	AP-2026-000077.json	Oto Skulme	artist_name_ascii_only	Oto Skulme
skipped	AP-2026-000078.json	Oto Skulme	artist_name_ascii_only	Oto Skulme
skipped	AP-2026-000079.json	Oto Skulme	artist_name_ascii_only	Oto Skulme
skipped	AP-2026-000092.json	Gustavs Klucis	artist_name_ascii_only	Gustavs Klucis
skipped	AP-2026-000093.json	Gustavs Klucis	artist_name_ascii_only	Gustavs Klucis
skipped	AP-2026-000094.json	Gustavs Klucis	artist_name_ascii_only	Gustavs Klucis
