id	name	desc	url	q
ART-JURJANE-1944	Aija Jurjāne	Latvian artist (1944–2015)	https://arsaccordia.com/artists/ART-JURJANE-1944.html	99483266
ART-OZOLINA-1954	Aija Ozoliņa	Latvian artist (b. 1954)	https://arsaccordia.com/artists/ART-OZOLINA-1954.html	140402310
ART-ZARINA-1954	Aija Zariņa	Latvian artist (1954–2025)	https://arsaccordia.com/artists/ART-ZARINA-1954.html	
ART-FILKA-1891	Alberts Filka	Latvian artist (1891–1938)	https://arsaccordia.com/artists/ART-FILKA-1891.html	
ART-KRONENBERGS-1887	Alberts Kronenbergs	Latvian artist (1887–1958)	https://arsaccordia.com/artists/ART-KRONENBERGS-1887.html	
ART-PAULINS-1948	Alberts Pauliņš	Latvian artist (1948–2026)	https://arsaccordia.com/artists/ART-PAULINS-1948.html	
ART-VUCANS-1905	Alberts Vucāns	Latvian artist (1905–1964)	https://arsaccordia.com/artists/ART-VUCANS-1905.html	
ART-DZENIS-1907	Albīns Dzenis	Latvian artist (1907–1998)	https://arsaccordia.com/artists/ART-DZENIS-1907.html	
ART-BELCOVA-1892	Aleksandra Beļcova	Latvian artist (1892–1981)	https://arsaccordia.com/artists/ART-BELCOVA-1892.html	
ART-APSITIS-1880	Aleksandrs Apsītis	Latvian artist (1880–1943)	https://arsaccordia.com/artists/ART-APSITIS-1880.html	
ART-DEMBO-1931	Aleksandrs Dembo	Latvian artist (1931–1999)	https://arsaccordia.com/artists/ART-DEMBO-1931.html	99478532
ART-DRUKTEINS-1909	Aleksandrs Drukteins	Latvian artist (1909–1986)	https://arsaccordia.com/artists/ART-DRUKTEINS-1909.html	
ART-DREVINS-1889	Aleksandrs Drēviņš	Latvian artist (1889–1938)	https://arsaccordia.com/artists/ART-DREVINS-1889.html	
ART-JUNKERS-1899	Aleksandrs Junkers	Latvian artist (1899–1976)	https://arsaccordia.com/artists/ART-JUNKERS-1899.html	
ART-NALOGINS-1922	Aleksandrs Nalogins	Latvian artist (1922–1993)	https://arsaccordia.com/artists/ART-NALOGINS-1922.html	
