id	name	desc	url	q
AP-2026-000002	Juras noskana (Sea Mood)	painting, by Herberts Siliņš, 1979	https://arsaccordia.com/AP-2026-000002.html	
AP-2026-000003	In the Evening	painting, by Valdemārs Tone, 1920	https://arsaccordia.com/AP-2026-000003.html	63344886
AP-2026-000004	At the Window	painting, by Valdemārs Tone, 1932	https://arsaccordia.com/AP-2026-000004.html	63345066
AP-2026-000005	Divas sievietes	linocut print, by Valdemārs Tone, 1919	https://arsaccordia.com/AP-2026-000005.html	140399714
AP-2026-000006	Divas figūras	woodcut print, by Valdemārs Tone, 1918	https://arsaccordia.com/AP-2026-000006.html	140399715
AP-2026-000007	Divas sievietes	painting, by Valdemārs Tone, 1920	https://arsaccordia.com/AP-2026-000007.html	140399718
AP-2026-000008	Uz balkona	painting, by Valdemārs Tone, 1920	https://arsaccordia.com/AP-2026-000008.html	140399719
AP-2026-000009	Sieviete ar balodi	painting, by Valdemārs Tone, 1919	https://arsaccordia.com/AP-2026-000009.html	140399716
AP-2026-000010	G. L. kundzes portrets	painting, by Valdemārs Tone, 1923	https://arsaccordia.com/AP-2026-000010.html	140399722
AP-2026-000011	Valdemārs Dambergs ar kundzi	painting, by Valdemārs Tone, 1924	https://arsaccordia.com/AP-2026-000011.html	140399723
AP-2026-000012	Portreta mets	painting, by Valdemārs Tone, 1920	https://arsaccordia.com/AP-2026-000012.html	140399720
AP-2026-000013	Klusā daba ar papirosiem	painting, by Valdemārs Tone, 1921	https://arsaccordia.com/AP-2026-000013.html	140399721
AP-2026-000014		painting, by Vilhelms Purvītis	https://arsaccordia.com/AP-2026-000014.html	20795503
AP-2026-000015		painting, by Vilhelms Purvītis	https://arsaccordia.com/AP-2026-000015.html	20799693
AP-2026-000016	Baltā un melnā	painting, by Aleksandra Beļcova, 1925	https://arsaccordia.com/AP-2026-000016.html	22045458
AP-2026-000017	Peldētāji zēni	painting, by Jānis Valters, 1900	https://arsaccordia.com/AP-2026-000017.html	22056331
AP-2026-000018	Ziema	painting, by Vilhelms Purvītis, 1910	https://arsaccordia.com/AP-2026-000018.html	22056352
AP-2026-000019	Bēgļi	painting, by Jēkabs Kazaks, 1917	https://arsaccordia.com/AP-2026-000019.html	22056364
AP-2026-000020	Forest (Morning Sun)	painting, by Jānis Valters, 1904	https://arsaccordia.com/AP-2026-000020.html	28797822
AP-2026-000021	Mountain near Metzinger	painting, by Jānis Valters, 1925	https://arsaccordia.com/AP-2026-000021.html	28797823
AP-2026-000022	Ducks	painting, by Jānis Valters, 1898	https://arsaccordia.com/AP-2026-000022.html	28797820
AP-2026-000023	Expressive firs	painting, by Jānis Valters, 1924	https://arsaccordia.com/AP-2026-000023.html	28797821
AP-2026-000024	Trunks and Foliage	painting, by Jānis Valters, 1925	https://arsaccordia.com/AP-2026-000024.html	28797824
AP-2026-000025	Woman with Leaflets	painting, by Aleksandrs Drēviņš, 1933	https://arsaccordia.com/AP-2026-000025.html	28801400
AP-2026-000026	In the Outskirts of Paris	painting, by Jāzeps Grosvalds, 1914	https://arsaccordia.com/AP-2026-000026.html	28808859
AP-2026-000027	Path of the Nightmare	painting, by Jāzeps Grosvalds, 1916	https://arsaccordia.com/AP-2026-000027.html	28808862
AP-2026-000028	Three Crosses	painting, by Jāzeps Grosvalds, 1917	https://arsaccordia.com/AP-2026-000028.html	28808863
AP-2026-000029	Kurds on the Roof	painting, by Jāzeps Grosvalds, 1916	https://arsaccordia.com/AP-2026-000029.html	28808860
AP-2026-000030	Three Women on the Street of Baghdad	painting, by Jāzeps Grosvalds, 1919	https://arsaccordia.com/AP-2026-000030.html	28808864
AP-2026-000031	Trīs sievietes	painting, by Jēkabs Kazaks, 1916	https://arsaccordia.com/AP-2026-000031.html	28808870
AP-2026-000032	Ladies at the Seaside	painting, by Jēkabs Kazaks, 1920	https://arsaccordia.com/AP-2026-000032.html	28808869
AP-2026-000033	Pavasara ūdeņi (Maestoso)	painting, by Vilhelms Purvītis, 1910	https://arsaccordia.com/AP-2026-000033.html	28810769
AP-2026-000034	Suprematism (formerly) Abstraction	painting, by Aleksandrs Drēviņš, 1921	https://arsaccordia.com/AP-2026-000034.html	49181298
AP-2026-000035	The Female Worker in England	drawing, by Gustavs Klucis, 1929	https://arsaccordia.com/AP-2026-000035.html	64572792
AP-2026-000036	Propaganda Stand (Workers of the World Unite)	drawing, by Gustavs Klucis, 1922	https://arsaccordia.com/AP-2026-000036.html	64572793
AP-2026-000037	Agit-Prop Stand	painting, by Gustavs Klucis, 1922	https://arsaccordia.com/AP-2026-000037.html	76341768
AP-2026-000038	Transport	painting, by Gustavs Klucis	https://arsaccordia.com/AP-2026-000038.html	106713737
AP-2026-000039	Forest Rhythms	painting, by Jānis Valters	https://arsaccordia.com/AP-2026-000039.html	106769485
AP-2026-000040	Rhythmic Trees	painting, by Jānis Valters	https://arsaccordia.com/AP-2026-000040.html	106866287
AP-2026-000041	Cubist Landscape	painting, by Jānis Valters	https://arsaccordia.com/AP-2026-000041.html	106881448
AP-2026-000042	Trees in a Romantic Landscape	painting, by Jānis Valters, 1930	https://arsaccordia.com/AP-2026-000042.html	106881452
AP-2026-000043		painting, by Jānis Valters, 1908	https://arsaccordia.com/AP-2026-000043.html	107437611
AP-2026-000044		painting, by Jānis Valters	https://arsaccordia.com/AP-2026-000044.html	111801668
AP-2026-000045	Still Life	painting, by Leo Svemps, 1937	https://arsaccordia.com/AP-2026-000045.html	119261778
AP-2026-000046	Painterly Composition	painting, by Aleksandrs Drēviņš, 1921	https://arsaccordia.com/AP-2026-000046.html	130477847
AP-2026-000047		painting, by Aleksandrs Drēviņš, 1932	https://arsaccordia.com/AP-2026-000047.html	133043354
AP-2026-000048		painting, by Aleksandrs Drēviņš, 1930s	https://arsaccordia.com/AP-2026-000048.html	133043355
AP-2026-000049		painting, by Aleksandrs Drēviņš, 1924	https://arsaccordia.com/AP-2026-000049.html	133043352
AP-2026-000050		painting, by Aleksandrs Drēviņš, 1930	https://arsaccordia.com/AP-2026-000050.html	133043360
AP-2026-000051		painting, by Aleksandrs Drēviņš, 1926	https://arsaccordia.com/AP-2026-000051.html	133043361
AP-2026-000052		painting, by Aleksandrs Drēviņš, 1932	https://arsaccordia.com/AP-2026-000052.html	133043368
AP-2026-000053		painting, by Gustavs Klucis, 1930	https://arsaccordia.com/AP-2026-000053.html	133236313
AP-2026-000054		painting, by Gustavs Klucis, 1927	https://arsaccordia.com/AP-2026-000054.html	133236318
AP-2026-000055		painting, by Gustavs Klucis, 1918	https://arsaccordia.com/AP-2026-000055.html	133236316
AP-2026-000056	Sieviete ar vēdekli	painting, by Jāzeps Grosvalds, 1914	https://arsaccordia.com/AP-2026-000056.html	140399526
AP-2026-000057	Triju mākslinieku portrets	painting, by Jāzeps Grosvalds, 1915	https://arsaccordia.com/AP-2026-000057.html	140399527
AP-2026-000058	Latviešu bēgļu apgādāšanas centrālkomitejas plakāta skice	watercolour painting, by Jāzeps Grosvalds, 1915	https://arsaccordia.com/AP-2026-000058.html	140399530
AP-2026-000059	Bēgļi (Vecais bēglis)	painting, by Jāzeps Grosvalds, 1917	https://arsaccordia.com/AP-2026-000059.html	140399531
AP-2026-000060	Mirstošais strēlnieks	painting, by Jāzeps Grosvalds, 1917	https://arsaccordia.com/AP-2026-000060.html	140399529
AP-2026-000061	Karavīri bēdājās... (Ievainotie latviešu strēlnieki)	painting, by Jāzeps Grosvalds, c. 1917	https://arsaccordia.com/AP-2026-000061.html	140399534
AP-2026-000062	Tējnīca Kanikinā	watercolour painting, by Jāzeps Grosvalds, 1918	https://arsaccordia.com/AP-2026-000062.html	140399535
AP-2026-000063	Div' dūjiņas gaisā skrēja	painting, by Jāzeps Grosvalds, 1919	https://arsaccordia.com/AP-2026-000063.html	140399532
AP-2026-000064	Cīņa ar melno bruņinieku (Melnais bruņinieks)	painting, by Jāzeps Grosvalds, 1919	https://arsaccordia.com/AP-2026-000064.html	140399533
AP-2026-000065	Tirgotājs	watercolour painting, by Jāzeps Grosvalds, 1918	https://arsaccordia.com/AP-2026-000065.html	140399538
AP-2026-000066	Persiešu motīvs (Muhamedāņu sēru gājiens)	painting, by Jāzeps Grosvalds, 1919	https://arsaccordia.com/AP-2026-000066.html	140399539
AP-2026-000067	Mošeja Hamadānā	watercolour painting, by Jāzeps Grosvalds, 1918	https://arsaccordia.com/AP-2026-000067.html	140399536
AP-2026-000068	Strauts Hamadānā	watercolour painting, by Jāzeps Grosvalds, 1918	https://arsaccordia.com/AP-2026-000068.html	140399537
AP-2026-000069	Bagdādes tirgū	painting, by Jāzeps Grosvalds, 1919	https://arsaccordia.com/AP-2026-000069.html	140399540
AP-2026-000070	Pilsēta	linocut print, by Oto Skulme, 1919	https://arsaccordia.com/AP-2026-000070.html	140399946
AP-2026-000071	Kompozīcija	linocut print, by Oto Skulme, 1919	https://arsaccordia.com/AP-2026-000071.html	140399947
AP-2026-000072	Kārļa Strauberga portrets	painting, by Oto Skulme, 1920	https://arsaccordia.com/AP-2026-000072.html	140399950
AP-2026-000073	Kompozīcija	painting, by Oto Skulme, 1920	https://arsaccordia.com/AP-2026-000073.html	140399951
AP-2026-000074	Kompozīcija (Klusā daba)	painting, by Oto Skulme, 1920	https://arsaccordia.com/AP-2026-000074.html	140399948
AP-2026-000075	Kārļa Strauberga portrets	woodcut print, by Oto Skulme, 1920	https://arsaccordia.com/AP-2026-000075.html	140399949
AP-2026-000076	Portreta kompozīcija	painting, by Oto Skulme, 1923	https://arsaccordia.com/AP-2026-000076.html	140399954
AP-2026-000077	Kompozīcija ar divām figūrām (Svētvakars)	painting, by Oto Skulme, 1920	https://arsaccordia.com/AP-2026-000077.html	140399952
AP-2026-000078	Klusā daba	painting, by Oto Skulme, 1923	https://arsaccordia.com/AP-2026-000078.html	140399953
AP-2026-000079	Klusā daba. Mulda ar āboliem	painting, by Oto Skulme, 1925	https://arsaccordia.com/AP-2026-000079.html	140399957
AP-2026-000080	Sukubs (Dekoratīvs panno)	painting, by Aleksandra Beļcova, 1922	https://arsaccordia.com/AP-2026-000080.html	140400018
AP-2026-000081	Ložā (Dekoratīvs panno)	painting, by Aleksandra Beļcova, 1922	https://arsaccordia.com/AP-2026-000081.html	140400019
AP-2026-000082	Sieviete ar plīvuru	painting, by Aleksandra Beļcova, 1920	https://arsaccordia.com/AP-2026-000082.html	140400017
AP-2026-000083	Tenisiste	painting, by Aleksandra Beļcova, 1927	https://arsaccordia.com/AP-2026-000083.html	140400022
AP-2026-000084	Baltā un melnā	painting, by Aleksandra Beļcova, 1925	https://arsaccordia.com/AP-2026-000084.html	140400023
AP-2026-000085	Berlīne	painting, by Aleksandra Beļcova, 1923	https://arsaccordia.com/AP-2026-000085.html	140400020
AP-2026-000086	Ainava	painting, by Jānis Liepiņš, 1927	https://arsaccordia.com/AP-2026-000086.html	140400026
AP-2026-000087	Vijolnieks	painting, by Jānis Liepiņš, 1920	https://arsaccordia.com/AP-2026-000087.html	140400024
AP-2026-000088	Dzērāji	painting, by Jānis Liepiņš, 1920	https://arsaccordia.com/AP-2026-000088.html	140400025
AP-2026-000089	Klusā daba ar pīpi	painting, by Jānis Liepiņš, 1927	https://arsaccordia.com/AP-2026-000089.html	140400030
AP-2026-000090	Logs	painting, by Jānis Liepiņš, 1928	https://arsaccordia.com/AP-2026-000090.html	140400028
