id	name	description	url	type
ART-ABOLINA-1910	Austra Āboliņa	Latvian; painter; 1910–1967	https://arsaccordia.com/artists/ART-ABOLINA-1910.html	Q5
ART-ABOLS-1922	Ojārs Ābols	Latvian; painter; 1922–1983	https://arsaccordia.com/artists/ART-ABOLS-1922.html	Q5
ART-AIDE-1913	Bruno Aide	Latvian; painter; 1913–1994	https://arsaccordia.com/artists/ART-AIDE-1913.html	Q5
ART-AIZENS-1899	Jānis Aižens	Latvian; painter; 1899–1941	https://arsaccordia.com/artists/ART-AIZENS-1899.html	Q5
ART-ALKSNIS-1864	Ādams Alksnis	Latvian; painter; 1864–1897	https://arsaccordia.com/artists/ART-ALKSNIS-1864.html	Q5
ART-ANDERSONS-1929	Edvīns Andersons	Latvian; painter; 1929–1996	https://arsaccordia.com/artists/ART-ANDERSONS-1929.html	Q5
ART-ANDRIJENKO-1926	Vladimirs Andrijenko	Latvian; painter; 1926–1995	https://arsaccordia.com/artists/ART-ANDRIJENKO-1926.html	Q5
ART-ANMANIS-1943	Jānis Anmanis	Latvian; painter; 1943–2025	https://arsaccordia.com/artists/ART-ANMANIS-1943.html	Q5
ART-ANNUSS-1893	Augusts Annuss	Latvian; painter; 1893–1984	https://arsaccordia.com/artists/ART-ANNUSS-1893.html	Q5
ART-ANTONOVS-1884	Sergejs Antonovs	Latvian; painter; 1884–1956	https://arsaccordia.com/artists/ART-ANTONOVS-1884.html	Q5
ART-APINIS-1899	Jēkabs Apinis	Latvian; painter; 1899–1945	https://arsaccordia.com/artists/ART-APINIS-1899.html	Q5
ART-APSITIS-1880	Aleksandrs Apsītis	Latvian; painter; 1880–1943	https://arsaccordia.com/artists/ART-APSITIS-1880.html	Q5
ART-ARGALIS-1954	Māris Ārgalis	Latvian; painter; 1954–2008	https://arsaccordia.com/artists/ART-ARGALIS-1954.html	Q5
ART-ARINS-1907	Leonīds Āriņš	Latvian; painter; 1907–1991	https://arsaccordia.com/artists/ART-ARINS-1907.html	Q5
ART-ARTUMS-1908	Ansis Artums	Latvian; painter; 1908–1997	https://arsaccordia.com/artists/ART-ARTUMS-1908.html	Q5
ART-AUZA-1914	Lidija Auza	Latvian; painter; 1914–1989	https://arsaccordia.com/artists/ART-AUZA-1914.html	Q5
ART-BAKLANE-1976	Liena Baklāne	Latvian; painter; 1976–2025	https://arsaccordia.com/artists/ART-BAKLANE-1976.html	Q5
ART-BAKLANS-1947	Juris Baklāns	Latvian; painter; 1947–1989	https://arsaccordia.com/artists/ART-BAKLANS-1947.html	Q5
ART-BALTGAILIS-1893	Kārlis Baltgailis	Latvian; painter; 1893–1979	https://arsaccordia.com/artists/ART-BALTGAILIS-1893.html	Q5
ART-BALTMANE-1882	Emma Baltmane	Latvian; painter; 1882–1969	https://arsaccordia.com/artists/ART-BALTMANE-1882.html	Q5
ART-BAUMA-1930	Dzidra Bauma	Latvian; painter; 1930	https://arsaccordia.com/artists/ART-BAUMA-1930.html	Q5
ART-BAUMANE-1922	Biruta Baumane	Latvian; painter; 1922–2017	https://arsaccordia.com/artists/ART-BAUMANE-1922.html	Q5
ART-BAUMANIS-1892	Artūrs Baumanis	Latvian; painter; 1892–1975	https://arsaccordia.com/artists/ART-BAUMANIS-1892.html	Q5
ART-BAUSKENIEKS-1910	Auseklis Baušķenieks	Latvian; painter; 1910–2007	https://arsaccordia.com/artists/ART-BAUSKENIEKS-1910.html	Q5
ART-BELCOVA-1892	Aleksandra Beļcova	Latvian; painter; 1892–1981	https://arsaccordia.com/artists/ART-BELCOVA-1892.html	Q5
ART-BERZINS-1930	Boriss Bērziņš	Latvian; painter; 1930–2002	https://arsaccordia.com/artists/ART-BERZINS-1930.html	Q5
ART-BILENSTEINS-1869	Zigfrīds Bīlenšteins	Latvian; painter; 1869–1949	https://arsaccordia.com/artists/ART-BILENSTEINS-1869.html	Q5
ART-BINE-1895	Jēkabs Bīne	Latvian; painter; 1895–1955	https://arsaccordia.com/artists/ART-BINE-1895.html	Q5
ART-BIRITE-1909	Milda Bīrīte	Latvian; painter; 1909–1988	https://arsaccordia.com/artists/ART-BIRITE-1909.html	Q5
ART-BIRNBAUMS-1863	Staņislavs Birnbaums	Latvian; painter; 1863–1944	https://arsaccordia.com/artists/ART-BIRNBAUMS-1863.html	Q5
ART-BLUMBERGS-1943	Ilmārs Blumbergs	Latvian; painter; 1943–2016	https://arsaccordia.com/artists/ART-BLUMBERGS-1943.html	Q5
ART-BOGDANOVS-BELSKIS-1868	Nikolajs Bogdanovs-Beļskis	Latvian; painter; 1868–1945	https://arsaccordia.com/artists/ART-BOGDANOVS-BELSKIS-1868.html	Q5
ART-BOKMANIS-1929	Jānis Bokmanis	Latvian; painter; 1929–2013	https://arsaccordia.com/artists/ART-BOKMANIS-1929.html	Q5
ART-BRAUNBERGS-1931	Emīls Braunbergs	Latvian; painter; 1931–2018	https://arsaccordia.com/artists/ART-BRAUNBERGS-1931.html	Q5
ART-BREIKSS-1911	Nikolajs Breikšs	Latvian; painter; 1911–1972	https://arsaccordia.com/artists/ART-BREIKSS-1911.html	Q5
ART-BREKTE-1920	Jānis Brekte	Latvian; painter; 1920–1985	https://arsaccordia.com/artists/ART-BREKTE-1920.html	Q5
ART-BRENCENS-1885	Eduards Brencēns	Latvian; painter; 1885–1929	https://arsaccordia.com/artists/ART-BRENCENS-1885.html	Q5
ART-BRENCENS-1897	Kārlis Brencēns	Latvian; painter; 1897–1951	https://arsaccordia.com/artists/ART-BRENCENS-1897.html	Q5
ART-BROMULTS-1913	Alfejs Bromults	Latvian; painter; 1913–1991	https://arsaccordia.com/artists/ART-BROMULTS-1913.html	Q5
ART-BUSS-1924	Valdis Bušs	Latvian; painter; 1924–2014	https://arsaccordia.com/artists/ART-BUSS-1924.html	Q5
ART-CELMINA-1946	Inta Celmiņa	Latvian; painter; 1946	https://arsaccordia.com/artists/ART-CELMINA-1946.html	Q5
ART-CELMINS-1927	Bruno Celmiņš	Latvian; painter; 1927–1992	https://arsaccordia.com/artists/ART-CELMINS-1927.html	Q5
ART-CIELAVS-1890	Jānis Cielavs	Latvian; painter; 1890–1968	https://arsaccordia.com/artists/ART-CIELAVS-1890.html	Q5
ART-CIPANS-1908	Felikss Čipāns	Latvian; painter; 1908–1931	https://arsaccordia.com/artists/ART-CIPANS-1908.html	Q5
ART-CIRULIS-1883	Ansis Cīrulis	Latvian; painter; 1883–1942	https://arsaccordia.com/artists/ART-CIRULIS-1883.html	Q5
ART-CIRULIS-1925	Kārlis Cīrulis	Latvian; painter; 1925–1994	https://arsaccordia.com/artists/ART-CIRULIS-1925.html	Q5
ART-DELLE-1944	Biruta Delle	Latvian; painter; 1944–2025	https://arsaccordia.com/artists/ART-DELLE-1944.html	Q5
ART-DEMBO-1931	Aleksandrs Dembo	Latvian; painter; 1931–1999	https://arsaccordia.com/artists/ART-DEMBO-1931.html	Q5
ART-DIMITERS-1947	Juris Dimiters	Latvian; painter; 1947	https://arsaccordia.com/artists/ART-DIMITERS-1947.html	Q5
ART-DINGELIS-1899	Staņislavs Diņģelis	Latvian; painter; 1899–1988	https://arsaccordia.com/artists/ART-DINGELIS-1899.html	Q5
ART-DOBRAJA-1940	Inta Dobrāja	Latvian; painter; 1940–2020	https://arsaccordia.com/artists/ART-DOBRAJA-1940.html	Q5
ART-DOBRAJS-1943	Kārlis Dobrājs	Latvian; painter; 1943	https://arsaccordia.com/artists/ART-DOBRAJS-1943.html	Q5
ART-DONCOVS-1916	Hermanis Doncovs	Latvian; painter; 1916–2001	https://arsaccordia.com/artists/ART-DONCOVS-1916.html	Q5
ART-DRAGUNE-1945	Maija Dragūne	Latvian; painter; 1945	https://arsaccordia.com/artists/ART-DRAGUNE-1945.html	Q5
ART-DRUJA-1906	Elza Druja	Latvian; painter; 1906–1991	https://arsaccordia.com/artists/ART-DRUJA-1906.html	Q5
ART-DRUKTEINS-1909	Aleksandrs Drukteins	Latvian; painter; 1909–1986	https://arsaccordia.com/artists/ART-DRUKTEINS-1909.html	Q5
ART-DUBURS-1899	Artūrs Duburs	Latvian; painter; 1899–1973	https://arsaccordia.com/artists/ART-DUBURS-1899.html	Q5
ART-DUMINS-1907	Arvīds Dūmiņš	Latvian; painter; 1907–1975	https://arsaccordia.com/artists/ART-DUMINS-1907.html	Q5
ART-DUSKINS-1928	Pauls Duškins	Latvian; painter; 1928–1996	https://arsaccordia.com/artists/ART-DUSKINS-1928.html	Q5
ART-DZENIS-1907	Albīns Dzenis	Latvian; painter; 1907–1998	https://arsaccordia.com/artists/ART-DZENIS-1907.html	Q5
ART-EGLE-1905	Arvīds Egle	Latvian; painter; 1905–1977	https://arsaccordia.com/artists/ART-EGLE-1905.html	Q5
ART-EGLITE-1945	Laima Eglīte	Latvian; painter; 1945	https://arsaccordia.com/artists/ART-EGLITE-1945.html	Q5
ART-ELIASS-1887	Ģederts Eliass	Latvian; painter; 1887–1975	https://arsaccordia.com/artists/ART-ELIASS-1887.html	Q5
ART-ENDZELINA-1927	Līvija Endzelīna	Latvian; painter; 1927–2008	https://arsaccordia.com/artists/ART-ENDZELINA-1927.html	Q5
ART-FEDERS-1838	Jūlijs Feders	Latvian; painter; 1838–1909	https://arsaccordia.com/artists/ART-FEDERS-1838.html	Q5
ART-FILKA-1891	Alberts Filka	Latvian; painter; 1891–1938	https://arsaccordia.com/artists/ART-FILKA-1891.html	Q5
ART-FJODOROVS-1924	Aleksejs Fjodorovs	Latvian; painter; 1924–1997	https://arsaccordia.com/artists/ART-FJODOROVS-1924.html	Q5
ART-FRIDRIHSONS-1911	Kurts Fridrihsons	Latvian; painter; 1911–1991	https://arsaccordia.com/artists/ART-FRIDRIHSONS-1911.html	Q5
ART-GAILIS-1903	Jānis Gailis	Latvian; painter; 1903–1975	https://arsaccordia.com/artists/ART-GAILIS-1903.html	Q5
ART-GEISTAUTE-1911	Erna Geistaute	Latvian; painter; 1911–1975	https://arsaccordia.com/artists/ART-GEISTAUTE-1911.html	Q5
ART-GERMANIS-1941	Juris Ģērmanis	Latvian; painter; 1941	https://arsaccordia.com/artists/ART-GERMANIS-1941.html	Q5
ART-GLAUDANS-1915	Pāvils Glaudāns	Latvian; painter; 1915–1968	https://arsaccordia.com/artists/ART-GLAUDANS-1915.html	Q5
ART-GRASMANIS-1916	Laimdonis Grasmanis	Latvian; painter; 1916–1970	https://arsaccordia.com/artists/ART-GRASMANIS-1916.html	Q5
ART-GROSVALDS-1891	Jāzeps Grosvalds	Latvian; painter; 1891–1920	https://arsaccordia.com/artists/ART-GROSVALDS-1891.html	Q5
ART-GROTUSS-1884	Hugo Grotuss	Latvian; painter; 1884–1951	https://arsaccordia.com/artists/ART-GROTUSS-1884.html	Q5
ART-GRUBE-1935	Edvards Grūbe	Latvian; painter; 1935–2022	https://arsaccordia.com/artists/ART-GRUBE-1935.html	Q5
ART-GULBE-1916	Ērika Gulbe	Latvian; painter; 1916–2003	https://arsaccordia.com/artists/ART-GULBE-1916.html	Q5
ART-GUTMANS-1938	Naftolijs Gūtmans	Latvian; painter; 1938	https://arsaccordia.com/artists/ART-GUTMANS-1938.html	Q5
ART-HEHTS-1928	VIZULIS Hehts	Latvian; painter; 1928	https://arsaccordia.com/artists/ART-HEHTS-1928.html	Q5
ART-HEINRIHSONE-1948	Helēna Heinrihsone	Latvian; painter; 1948	https://arsaccordia.com/artists/ART-HEINRIHSONE-1948.html	Q5
ART-HEINRIHSONS-1945	Ivars Heinrihsons	Latvian; painter; 1945	https://arsaccordia.com/artists/ART-HEINRIHSONS-1945.html	Q5
ART-HELMUTS-1934	Inārs Helmūts	Latvian; painter; 1934	https://arsaccordia.com/artists/ART-HELMUTS-1934.html	Q5
ART-HERBERTS-SILINS-1926	Herberts Silins	Latvian; painter; 1926–2001	https://arsaccordia.com/artists/ART-HERBERTS-SILINS-1926.html	Q5
ART-HUNS-1831	Kārlis Hūns	Latvian; painter; 1831–1877	https://arsaccordia.com/artists/ART-HUNS-1831.html	Q5
ART-ILTNERS-1925	Edgars Iltners	Latvian; painter; 1925–1983	https://arsaccordia.com/artists/ART-ILTNERS-1925.html	Q5
ART-IRBE-1893	Voldemārs Irbe	Latvian; painter; 1893–1944	https://arsaccordia.com/artists/ART-IRBE-1893.html	Q5
ART-IVANICKIS-1908	Staņislavs Ivaņickis	Latvian; painter; 1908–1971	https://arsaccordia.com/artists/ART-IVANICKIS-1908.html	Q5
ART-JANKALNINS-1914	Voldemārs Jāņkalniņš	Latvian; painter; 1914–1990	https://arsaccordia.com/artists/ART-JANKALNINS-1914.html	Q5
ART-JANSONS-1946	Ralfs Jansons	Latvian; painter; 1946–2012	https://arsaccordia.com/artists/ART-JANSONS-1946.html	Q5
ART-JAUNARAJS-1907	Oļģerts Jaunarājs	Latvian; painter; 1907–2003	https://arsaccordia.com/artists/ART-JAUNARAJS-1907.html	Q5
ART-JAUNSUDRABINS-1877	Jānis Jaunsudrabiņš	Latvian; painter; 1877–1962	https://arsaccordia.com/artists/ART-JAUNSUDRABINS-1877.html	Q5
ART-JAUNZEMS-1899	Bruno Jaunzems	Latvian; painter; 1899–1956	https://arsaccordia.com/artists/ART-JAUNZEMS-1899.html	Q5
ART-JUNKERS-1899	Aleksandrs Junkers	Latvian; painter; 1899–1976	https://arsaccordia.com/artists/ART-JUNKERS-1899.html	Q5
ART-JUPATOVS-1911	Aleksejs Jupatovs	Latvian; painter; 1911–1975	https://arsaccordia.com/artists/ART-JUPATOVS-1911.html	Q5
ART-JURJANS-1944	Juris Jurjāns	Latvian; painter; 1944–2023	https://arsaccordia.com/artists/ART-JURJANS-1944.html	Q5
ART-JURKELIS-1910	Eduards Jurķelis	Latvian; painter; 1910–1978	https://arsaccordia.com/artists/ART-JURKELIS-1910.html	Q5
ART-KACEROVSKIS-1926	Vitolds Kačerovskis	Latvian; painter; 1926–1995	https://arsaccordia.com/artists/ART-KACEROVSKIS-1926.html	Q5
ART-KALMITE-1907	Jānis Kalmīte	Latvian; painter; 1907–1996	https://arsaccordia.com/artists/ART-KALMITE-1907.html	Q5
ART-KALNINS-1904	Eduards Kalniņš	Latvian; painter; 1904–1988	https://arsaccordia.com/artists/ART-KALNINS-1904.html	Q5
ART-KALNMALIS-1939	Jānis Gunārs Kalnmalis	Latvian; painter; 1939–2023	https://arsaccordia.com/artists/ART-KALNMALIS-1939.html	Q5
ART-KALNROZE-1894	Valdis Kalnroze	Latvian; painter; 1894–1993	https://arsaccordia.com/artists/ART-KALNROZE-1894.html	Q5
ART-KALVANS-1909	Vitālijs Kalvāns	Latvian; painter; 1909–1965	https://arsaccordia.com/artists/ART-KALVANS-1909.html	Q5
ART-KALVE-1882	Pēteris Kalve	Latvian; painter; 1882–1913	https://arsaccordia.com/artists/ART-KALVE-1882.html	Q5
ART-KARAGODINS-1922	Nikolajs Karagodins	Latvian; painter; 1922–2015	https://arsaccordia.com/artists/ART-KARAGODINS-1922.html	Q5
ART-KASPARSONS-1889	Reinholds Kasparsons	Latvian; painter; 1889–1966	https://arsaccordia.com/artists/ART-KASPARSONS-1889.html	Q5
ART-KAZAKS-1895	Jēkabs Kazaks	Latvian; painter; 1895–1920	https://arsaccordia.com/artists/ART-KAZAKS-1895.html	Q5
ART-KEMERS-1902	Miervaldis Ķemers	Latvian; painter; 1902–1980	https://arsaccordia.com/artists/ART-KEMERS-1902.html	Q5
ART-KLAVA-1933	Gunārs Kļava	Latvian; painter; 1933–1989	https://arsaccordia.com/artists/ART-KLAVA-1933.html	Q5
ART-KLEBAHS-1928	Henrijs Klēbahs	Latvian; painter; 1928–1998	https://arsaccordia.com/artists/ART-KLEBAHS-1928.html	Q5
ART-KLUCIS-1895	Gustavs Klucis	Latvian; painter, graphic artist, designer; 1895–1938	https://arsaccordia.com/artists/ART-KLUCIS-1895.html	Q5
ART-KOKLE-1924	Leo Kokle	Latvian; painter; 1924–1964	https://arsaccordia.com/artists/ART-KOKLE-1924.html	Q5
ART-KORTI-1922	Igors Korti	Latvian; painter; 1922–1986	https://arsaccordia.com/artists/ART-KORTI-1922.html	Q5
ART-KOZINS-1922	Vladimirs Kozins	Latvian; painter; 1922	https://arsaccordia.com/artists/ART-KOZINS-1922.html	Q5
ART-KRASTINS-1882	Pēteris Krastiņš	Latvian; painter; 1882–1942	https://arsaccordia.com/artists/ART-KRASTINS-1882.html	Q5
ART-KREICS-1909	Staņislavs Kreics	Latvian; painter; 1909–1992	https://arsaccordia.com/artists/ART-KREICS-1909.html	Q5
ART-KRESLINS-1962	Valdis Krēsliņš	Latvian; painter; 1962–2025	https://arsaccordia.com/artists/ART-KRESLINS-1962.html	Q5
ART-KROLLIS-1932	Gunārs Krollis	Latvian; painter; 1932–2025	https://arsaccordia.com/artists/ART-KROLLIS-1932.html	Q5
ART-KRONENBERGS-1887	Alberts Kronenbergs	Latvian; painter; 1887–1958	https://arsaccordia.com/artists/ART-KRONENBERGS-1887.html	Q5
ART-KUGA-1878	Jānis Kuga	Latvian; painter; 1878–1969	https://arsaccordia.com/artists/ART-KUGA-1878.html	Q5
ART-KULAINIS-1901	Nikolajs Kūlainis	Latvian; painter; 1901–1975	https://arsaccordia.com/artists/ART-KULAINIS-1901.html	Q5
