artbase_id	name	birth_year	score	wikidata_qid	ulan_id	viaf_id	wikidata_desc	reason
ART-ABOLINA-1910	Austra Āboliņa	1910	none					no candidates returned
ART-ABOLS-1922	Ojārs Ābols	1922	low	Q3744638	500121462	45473840	Latvian scientist	birth year 1922 matches (no artist keyword)
ART-AIZENS-1899	Jānis Aižens	1899	low	Q55286044		305095725		birth year 1899 matches (no artist keyword)
ART-AMELKOVICS-1969	Andrejs Ameļkovičs	1969	low	Q139097584		30725574		birth year 1969 matches (no artist keyword)
ART-ANDRIJENKO-1926	Vladimirs Andrijenko	1926	none					no candidates returned
ART-ANMANIS-1943	Jānis Anmanis	1943	low	Q99483053		203230880		birth year 1943 matches (no artist keyword)
ART-ANTONOVS-1884	Sergejs Antonovs	1884	none					no candidates returned
ART-APINIS-1899	Jēkabs Apinis	1899	low	Q97930178		305098120	(1899–1945)	birth year 1899 matches (no artist keyword)
ART-ARGALIS-1954	Māris Ārgalis	1954	none					no candidates returned
ART-AVRAMENKO-1981	Vladimirs Avramenko	1981	none					no candidates returned
ART-BAIDA-1958	Valērijs Baida	1958	none					no candidates returned
ART-BAKLANE-1976	Liena Baklāne	1976	low	Q99478466				birth year 1976 matches (no artist keyword)
ART-BAKLANS-1947	Juris Baklāns	1947	low	Q137119970		86200881		birth year 1947 matches (no artist keyword)
ART-BAUMA-1930	Dzidra Bauma	1930	none					no candidates returned
ART-BAUMANIS-1892	Artūrs Baumanis	1892	low	Q99484392		1001150323814709971038		birth year 1892 matches (no artist keyword)
ART-BILENSTEINS-1869	Zigfrīds Bīlenšteins	1869	none					no candidates returned
ART-BIRITE-1909	Milda Bīrīte	1909	none					no candidates returned
ART-BIRNBAUMS-1863	Staņislavs Birnbaums	1863	none					no candidates returned
ART-BOGDANOVS-BELSKIS-1868	Nikolajs Bogdanovs-Beļskis	1868	none					no candidates returned
ART-BOKMANIS-1929	Jānis Bokmanis	1929	none					no candidates returned
ART-BRASLINS-1962	Normunds Brasliņš	1962	low	Q99479641				birth year 1962 matches (no artist keyword)
ART-BREKTE-1952	Ilona Brekte	1952	low	Q99477880				birth year 1952 matches (no artist keyword)
ART-BRENCENS-1897	Kārlis Brencēns	1897	none					no candidates returned
ART-CARUKA-1964	Ieva Caruka	1964	none					no candidates returned
ART-CAUNE-1961	Sarmīte Caune	1961	none					no candidates returned
ART-CELMINS-1927	Bruno Celmiņš	1927	low	Q99478840		75151110717837061858		birth year 1927 matches (no artist keyword)
ART-CIPANS-1908	Felikss Čipāns	1908	none					no candidates returned
ART-CIRULIS-1925	Kārlis Cīrulis	1925	low	Q99481282		305084645		birth year 1925 matches (no artist keyword)
ART-DEMBO-1931	Aleksandrs Dembo	1931	low	Q99478532		26129426		birth year 1931 matches (no artist keyword)
ART-DINGELIS-1899	Staņislavs Diņģelis	1899	none					no candidates returned
ART-DOBRAJS-1943	Kārlis Dobrājs	1943	none					no candidates returned
ART-DONCOVS-1916	Hermanis Doncovs	1916	none					no candidates returned
ART-DRUJA-1906	Elza Druja	1906	none					no candidates returned
ART-DRUKTEINS-1909	Aleksandrs Drukteins	1909	none					no candidates returned
ART-DUBURS-1899	Artūrs Duburs	1899	none					no candidates returned
ART-DUMINS-1907	Arvīds Dūmiņš	1907	none					no candidates returned
ART-DUSKINS-1928	Pauls Duškins	1928	none					no candidates returned
ART-DZENIS-1907	Albīns Dzenis	1907	low	Q99479826		305087881		birth year 1907 matches (no artist keyword)
ART-EGLITIS-1981	Andris Eglītis	1981	none					no candidates returned
ART-FEDERS-1838	Jūlijs Feders	1838	none					no candidates returned
ART-FJODOROVA-1986	Darja Fjodorova	1986	none					no candidates returned
ART-FJODOROVS-1924	Aleksejs Fjodorovs	1924	low	Q99476784		8163628930623462915		birth year 1924 matches (no artist keyword)
ART-GEISTAUTE-1911	Erna Geistaute	1911	low	Q131462825		23581946		birth year 1911 matches (no artist keyword)
ART-GERMANIS-1941	Juris Ģērmanis	1941	low	Q99484537				birth year 1941 matches (no artist keyword)
ART-GROTUSS-1884	Hugo Grotuss	1884	none					no candidates returned
ART-GULBE-1916	Ērika Gulbe	1916	low	Q94495530		24126195		birth year 1916 matches (no artist keyword)
ART-GUTMANS-1938	Naftolijs Gūtmans	1938	none					no candidates returned
ART-HEHTS-1928	VIZULIS Hehts	1928	none					no candidates returned
ART-HELMUTS-1934	Inārs Helmūts	1934	low	Q99481473				birth year 1934 matches (no artist keyword)
ART-HUNS-1831	Kārlis Hūns	1831	none					no candidates returned
ART-ILTNERS-1925	Edgars Iltners	1925	low	Q16450180	500121461	8191754	Latvian painter	artist keyword in description (birth year not confirmed)
ART-IVANICKIS-1908	Staņislavs Ivaņickis	1908	low	Q99477130		591169865869592150005		birth year 1908 matches (no artist keyword)
ART-JANKALNINS-1914	Voldemārs Jāņkalniņš	1914	none					no candidates returned
ART-JANSONE-1973	Agija Jansone	1973	none					no candidates returned
ART-JANSONS-1946	Ralfs Jansons	1946	none					no candidates returned
ART-JAUNARAJS-1907	Oļģerts Jaunarājs	1907	low	Q99477133				birth year 1907 matches (no artist keyword)
ART-JAUNZEMS-1899	Bruno Jaunzems	1899	none					no candidates returned
ART-JUPATOVS-1911	Aleksejs Jupatovs	1911	low	Q112497060		60016739		birth year 1911 matches (no artist keyword)
ART-JURJANS-1944	Juris Jurjāns	1944	low	Q99484012		170774244		birth year 1944 matches (no artist keyword)
ART-JURKELIS-1910	Eduards Jurķelis	1910	low	Q99479185		305060465		birth year 1910 matches (no artist keyword)
ART-KACEROVSKIS-1926	Vitolds Kačerovskis	1926	low	Q99480507				birth year 1926 matches (no artist keyword)
ART-KALNINS-1976	Jānis Kalniņš	1976	none					no candidates returned
ART-KALNMALIS-1939	Jānis Gunārs Kalnmalis	1939	low	Q99478290				birth year 1939 matches (no artist keyword)
ART-KALVANS-1909	Vitālijs Kalvāns	1909	low	Q99479007		6003933		birth year 1909 matches (no artist keyword)
ART-KARAGODINS-1922	Nikolajs Karagodins	1922	none					no candidates returned
ART-KASPARSONS-1889	Reinholds Kasparsons	1889	none					no candidates returned
ART-KAULACA-1971	Vineta Kaulača	1971	none					no candidates returned
ART-KEMERS-1902	Miervaldis Ķemers	1902	none					no candidates returned
ART-KLAVA-1933	Gunārs Kļava	1933	low	Q132129229		58011850		birth year 1933 matches (no artist keyword)
ART-KORTI-1922	Igors Korti	1922	none					no candidates returned
ART-KOZINS-1922	Vladimirs Kozins	1922	low	Q99478184		305067819		birth year 1922 matches (no artist keyword)
ART-KREICS-1909	Staņislavs Kreics	1909	low	Q99478817		305058084	Latvian landscape painter	artist keyword in description (birth year not confirmed)
ART-KRESLINS-1962	Valdis Krēsliņš	1962	none					no candidates returned
ART-KRUZE-1980	Daiga Krūze	1980	low	Q99481573				birth year 1980 matches (no artist keyword)
ART-KULAINIS-1901	Nikolajs Kūlainis	1901	low	Q99477483		305098027		birth year 1901 matches (no artist keyword)
ART-KUPCIS-1928	Laimonis Kupcis	1928	none					no candidates returned
ART-KVITKA-1983	Kristīne Kvitka	1983	none					no candidates returned
ART-LAICANE-1984	Anna Laicāne	1984	none					no candidates returned
ART-LAIZANE-1966	Ilze Laizāne	1966	none					no candidates returned
ART-LAPINA-1954	Dace Lapiņa	1954	low	Q99481295				birth year 1954 matches (no artist keyword)
ART-LAUVA-1906	Jānis Lauva	1906	none					no candidates returned
ART-LAZE-1895	Nadežda Laže	1895	none					no candidates returned
ART-LEJNIEKS-1911	Kārlis Lejnieks	1911	none					no candidates returned
ART-LIELA-1957	Dace Lielā	1957	low	Q99477354				birth year 1957 matches (no artist keyword)
ART-LIELKRASTE-1911	Marga Lielkraste	1911	none					no candidates returned
ART-LOGINA-1908	Zenta Logina	1908	low	Q99477020		316005017		birth year 1908 matches (no artist keyword)
ART-LUCIS-1959	Edmunds Lūcis	1959	low	Q99483030				birth year 1959 matches (no artist keyword)
ART-LUSE-1975	Zane Lūse	1975	none					no candidates returned
ART-MANGOLDS-1901	Herberts Mangolds	1901	low	Q99482024		305081342		birth year 1901 matches (no artist keyword)
ART-MASLAKOVS-1928	Sergejs Masļakovs	1928	low	Q99477147		308249544		birth year 1928 matches (no artist keyword)
ART-MEDINA-1984	Alise Mediņa	1984	low	Q99482736				birth year 1984 matches (no artist keyword)
ART-MEDNIS-1910	Jānis Mednis	1910	none					no candidates returned
ART-MEDNITIS-1903	Bernhards Mednītis	1903	low	Q99476936		51152501099810681600		birth year 1903 matches (no artist keyword)
ART-MEDVEDEVA-1987	Neonilla Medvedeva	1987	none					no candidates returned
ART-MEILERTE-1908	Ludmila Meilerte	1908	none					no candidates returned
ART-MELBARZDE-1970	Elizabete Melbārzde	1970	low	Q99477410				birth year 1970 matches (no artist keyword)
ART-MELBARZDIS-1902	Kārlis Melbārzdis	1902	low	Q99477659		10856315		birth year 1902 matches (no artist keyword)
ART-MELKIS-1908	Ernests Meļķis	1908	none					no candidates returned
ART-MERCA-1951	Vita Merca	1951	low	Q99479322		70858507		birth year 1951 matches (no artist keyword)
ART-METUZALS-1889	Eduards Metuzāls	1889	none					no candidates returned
ART-MIESNIEKS-1887	Kārlis Miesnieks	1887	none					no candidates returned
ART-MILGRAVIS-1923	Voldemārs Mīlgrāvis	1923	none					no candidates returned
ART-MILTS-1906	Fridrihs Milts	1906	low	Q99479422		305091201		birth year 1906 matches (no artist keyword)
ART-MURNIEKS-1922	Laimdots Mūrnieks	1922	low	Q99479058		305084680		birth year 1922 matches (no artist keyword)
ART-MUZIS-1944	Roberts Muzis	1944	low	Q99481303				birth year 1944 matches (no artist keyword)
ART-NALOGINS-1922	Aleksandrs Nalogins	1922	none					no candidates returned
ART-NAUMOVS-1955	Aleksejs Naumovs	1955	low	Q55420369		80540368		birth year 1955 matches (no artist keyword)
ART-NEIKENA-1988	Madara Neikena	1988	none					no candidates returned
ART-NEMME-1901	Otomārs Nemme	1901	low	Q2037175		305098899	Latvian painter (1891-1947)	artist keyword in description (birth year not confirmed)
ART-OSIS-1926	Jānis Osis	1926	low	Q51632826	500160618	102639400	Jānis Osis (1926-1991)	birth year 1926 matches (no artist keyword)
ART-OZOLS-1929	Vilis Ozols	1929	low	Q99476864		244159478203827990008		birth year 1929 matches (no artist keyword)
ART-PAKALNE-1982	Līva Pakalne	1982	none					no candidates returned
ART-PANKOKS-1914	Arnolds Pankoks	1914	none					no candidates returned
ART-PAULINS-1948	Alberts Pauliņš	1948	none					no candidates returned
ART-PETROVS-1874	Aleksandrs Petrovs	1874	none					no candidates returned
ART-PINNIS-1902	Rūdolfs Pinnis	1902	low	Q55984280	500121469	77116372	(born 1902)	birth year 1902 matches (no artist keyword)
ART-PLADERS-1897	Oto Pladers	1897	none					no candidates returned
ART-PLITE-PLEITA-1888	Alfrēds Plīte-Pleita	1888	low	Q94943241		81908471		birth year 1888 matches (no artist keyword)
ART-POIKANS-1952	Ivars Poikāns	1952	low	Q99483958				birth year 1952 matches (no artist keyword)
ART-POSTAZA-1941	Lilita Postaža	1941	low	Q99480323				birth year 1941 matches (no artist keyword)
ART-POSTAZS-1940	Pēteris Postažs	1940	low	Q99483031				birth year 1940 matches (no artist keyword)
ART-POSTAZS-1976	Paulis Postažs	1976	low	Q17860986		305072103		birth year 1976 matches (no artist keyword)
ART-PREISA-1976	Ilze Preisa	1976	low	Q99481659				birth year 1976 matches (no artist keyword)
ART-PUPOLS-1887	Jānis Pūpols	1887	none					no candidates returned
ART-PURMALE-1945	Līga Purmale	1945	low	Q6711682		45402656	Latvian artist (born 1948)	artist keyword in description (birth year not confirmed)
ART-PUTRAMS-1956	Juris Putrāms	1956	low	Q99481514				birth year 1956 matches (no artist keyword)
ART-RADZINS-1957	Egīls Radziņš	1957	none					no candidates returned
ART-RIEKSTINS-1928	Jānis Riekstiņš	1928	none					no candidates returned
ART-RIKMANIS-1901	Jānis Rikmanis	1901	low	Q99478135		305089579		birth year 1901 matches (no artist keyword)
ART-ROZENS-1864	Kārlis Rozens	1864	none					no candidates returned
ART-SALDAVS-1907	Oļģerts Saldavs	1907	none					no candidates returned
ART-SEGELMANS-1933	Semjons Šegelmans	1933	none					no candidates returned
ART-SEVERETNIKOVS-1962	Andrejs Severetņikovs	1962	low	Q99479625				birth year 1962 matches (no artist keyword)
